"wvsccode","wave","year","aj","age","collegeed","female","unemployed","ideology","satisfinancial","postma4","cai","trustmostpeople","godimportant","respectauthority","nationalpride"
840,1,1982,5,40,,0,0,8,5,,0,1,10,1,1
840,1,1982,5,43,,1,0,,3,,-2,0,10,1,
840,1,1982,,18,,0,0,10,2,,0,0,8,1,1
840,1,1982,1,18,,1,0,,6,,-1,0,10,1,1
840,1,1982,5,22,,0,,,5,,0,0,5,1,1
840,1,1982,1,21,,0,0,4,8,,1,1,9,0,0
840,1,1982,1,37,,0,0,8,9,,-1,0,10,1,0
840,1,1982,1,45,,1,0,5,10,,-1,1,10,1,
840,1,1982,1,30,,1,0,,8,,0,1,7,0,
840,1,1982,1,72,,1,0,2,6,,-1,0,10,1,1
840,1,1982,1,22,,0,1,,1,,0,1,5,1,
840,1,1982,1,47,,1,0,7,8,,-2,0,10,1,0
840,1,1982,1,56,,1,0,10,3,,0,0,10,1,1
840,1,1982,5,56,,0,0,10,8,,-1,0,10,1,1
840,1,1982,6,72,,0,0,10,,,-2,0,10,1,1
840,1,1982,3,25,,1,1,8,2,,-1,0,10,1,1
840,1,1982,2,60,,1,0,5,5,,0,0,9,1,1
840,1,1982,5,57,,0,0,7,7,,0,0,1,1,1
840,1,1982,6,34,,0,0,5,9,,-1,1,10,0,1
840,1,1982,3,28,,0,1,,4,,0,0,5,0,0
840,1,1982,1,34,,0,0,,1,,-1,0,,1,1
840,1,1982,7,23,,1,0,9,7,,-1,0,10,1,0
840,1,1982,1,53,,0,0,5,,,0,0,10,1,0
840,1,1982,1,22,,0,0,6,7,,-1,1,10,1,
840,1,1982,1,30,,0,0,6,8,,0,0,10,1,0
840,1,1982,1,30,,1,0,,8,,-1,0,10,1,1
840,1,1982,5,21,,1,0,10,10,,0,0,10,1,1
840,1,1982,1,66,,0,0,,8,,1,1,10,1,
840,1,1982,1,40,,1,0,9,,,-1,0,10,1,1
840,1,1982,10,39,,1,0,,10,,-1,0,10,1,
840,1,1982,1,26,,0,0,6,9,,1,0,10,1,0
840,1,1982,1,26,,1,0,9,9,,0,0,10,1,
840,1,1982,5,58,,1,0,7,8,,1,1,10,,1
840,1,1982,1,81,,0,0,10,10,,0,1,10,1,
840,1,1982,1,20,,0,0,,8,,-2,0,7,1,1
840,1,1982,1,46,,1,0,,10,,-1,0,10,1,1
840,1,1982,8,42,,1,0,6,9,,-1,0,10,1,1
840,1,1982,1,21,,0,0,2,1,,0,1,5,1,1
840,1,1982,1,19,,0,0,5,10,,-1,0,10,1,1
840,1,1982,2,20,,1,0,4,5,,-1,1,10,1,0
840,1,1982,5,55,,0,1,10,5,,0,0,10,1,1
840,1,1982,2,27,,1,0,,9,,-2,0,10,1,
840,1,1982,4,52,,0,0,10,9,,0,0,9,1,1
840,1,1982,1,60,,0,1,5,5,,0,0,10,1,0
840,1,1982,1,36,,1,0,2,1,,-2,0,10,1,0
840,1,1982,1,61,,0,0,10,7,,0,0,1,1,1
840,1,1982,1,30,,1,0,9,3,,-1,0,10,1,1
